"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"ATG5",12,16
"ATG7",37,56
"ATG9A",50,43
"ATG9B",49,31
"ATIC",18,4
"ATL1",7,15
"ATL2",9,18
"ATL3",40,65
"ATM",0,11
"ATMIN",14,26
"ATN1",4,10
"ATOH1",0,0
"ATOH7",0,0
"ATOH8",0,0
"ATOX1",16,13
"ATP10A",0,0
"ATP10B",7,24
"ATP10D",20,42
"ATP11A",48,59
"ATP11B",210,151
"ATP11C",28,27
"ATP12A",5,10
"ATP13A1",14,6
"ATP13A2",32,24
"ATP13A3",131,129
"ATP13A4",8,15
"ATP13A5",0,0
"ATP1A1",219,267
"ATP1A2",2,3
"ATP1A3",0,0
"ATP1A4",0,1
"ATP1B1",1163,1747
"ATP1B2",0,0
"ATP1B3",49,83
"ATP1B4",0,0
"ATP2A1",0,0
"ATP2A2",209,264
"ATP2A3",6,8
"ATP2B1",25,21
"ATP2B2",0,0
"ATP2B3",0,0
"ATP2B4",85,62
"ATP2C1",30,28
"ATP2C2",41,13
"ATP4A",0,0
"ATP4B",0,0
"ATP6AP1",54,37
"ATP6AP1L",0,0
