"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"FAM168B",9639,4541,7469,10606,5754,5799,7138,7436,11000,9433,5794
"FAM169A",147,280,314,280,58,216,90,90,57,220,53
"FAM170A",0,0,1,1,0,3,0,0,8,0,4
"FAM170B",8,8,0,0,0,8,0,0,0,0,0
"FAM171A1",2431,431,371,348,1397,219,330,325,245,2695,37
"FAM171A2",1653,192,213,334,511,111,1071,581,145,970,181
"FAM171B",493,448,108,109,24,117,111,562,40,723,14
"FAM172A",926,531,893,493,1047,312,617,808,2011,1612,376
"FAM174A",1275,1062,1576,937,1036,1230,813,2684,2431,1447,753
"FAM174B",1020,435,205,337,734,163,256,207,165,2575,112
"FAM177A1",3846,2758,5621,2945,3468,4044,5888,2976,4675,2492,3523
"FAM177B",56,207,37,157,39,72,36,69,185,46,102
"FAM178B",47,68,364,928,120,33,167,207,14,146,577
"FAM180A",58,125,68,16,49,17,137,15,74,191,22
"FAM180B",25,4,10,0,0,14,0,0,4,26,0
"FAM181A",0,0,0,0,0,11,9,5,2,0,19
"FAM181B",19,44,359,19,68,259,3,302,74,90,954
"FAM183A",53,13,108,147,101,49,23,83,135,130,231
"FAM184A",49,41,40,6,57,13,5,19,36,311,14
"FAM184B",143,12,2,16,79,5,20,12,233,418,24
"FAM185A",208,111,302,113,279,159,182,145,783,302,104
"FAM186A",4,0,0,10,4,1,2,4,2,1,0
"FAM186B",50,9,11,9,29,24,10,15,16,44,12
"FAM187B",6,0,0,0,2,0,0,1,0,1,0
"FAM189A1",435,0,114,4,7,13,71,1,1,33,5
"FAM189A2",1677,78,105,32,1778,27,14,156,489,1661,22
"FAM189B",4350,1544,3541,3875,2787,3989,2723,2900,5633,3125,2927
"FAM193A",3396,1055,1792,1834,2184,1388,1516,2298,1256,2497,1152
"FAM193B",3269,2451,6006,2852,4290,1493,1843,3620,3072,4380,2267
"FAM199X",1309,1070,1820,1185,817,2031,2247,1248,2161,1651,1253
"FAM200A",641,343,694,533,623,478,606,472,2359,592,307
"FAM200B",1318,856,742,971,975,509,562,470,540,1237,689
"FAM204A",2256,1639,2067,2781,1583,2602,1120,1964,2041,1902,1235
"FAM205A",0,0,0,0,1,22,0,2,0,5,0
"FAM207A",2781,900,2854,2703,1627,1996,4227,2509,1481,1856,1728
