"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"TBX2",1400.096485,413.7138028,223.051688,1439.09697,3489.227942,114.3627137,441.3598454,562.7302869,460.7506511,771.7720051
"CCDC149",25.39931205,17.72883925,34.51352382,66.01803323,29.75234135,17.72883925,32.82826903,17.72883925,17.72883925,27.87086496
"ZNF318",218.0852779,167.49555565,206.2927319,140.733692275,161.70665201,157.75727478,171.64557095,249.41131585,158.661616085,174.692403895
"ACTR1A",615.0824625,782.9409898,532.8786451,673.7766176,504.8985723,1539.701734,653.5784069,398.9951728,649.8206801,617.3215874
"HDC",17.72883925,57.15949085,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,26.51674368,40.19325875
"PHC3",28.123480625,25.680386055,21.74003145,17.72883925,17.72883925,24.51693149,22.02094473,35.21219643,26.50852717,30.66314454
"DPYSL4",31.68487409,67.80345419,212.1730086,29.70880488,368.5228526,17.72883925,91.4084879,33.59192009,522.3510837,91.42652166
"PFN4",29.0056163,17.72883925,37.94863913,17.72883925,34.49272884,41.96035007,17.72883925,17.72883925,17.72883925,52.87572018
"HABP4",153.35088375,131.9447082,216.5332053,171.3930664,274.3841366,272.4255545,84.858621445,115.856538695,445.1719474,80.16405713
"RNF165",17.72883925,26.41151878,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,132.3903677,17.72883925,17.72883925
"AMOT",276.5168242,79.9947632,577.1862766,30.38143329,750.5081077,96.91484131,91.96530564,192.7892882,17.72883925,799.3428125
"STAG1",103.65919629,116.072403355,140.12055677,101.27782575,88.700611335,99.46832193,117.13043497,118.20781534,76.769301995,76.72057517
"TMEM158",1503.027835,618.6732102,1122.115514,334.9403556,650.8802492,2071.490433,762.2651553,9503.223102,2037.102707,1673.65726
"ARPC2",6206.657336,6964.012267,5448.523003,4609.738025,5239.884375,6202.952522,6285.516468,5775.284459,5870.928864,6923.324018
"PLA1A",877.2106707,82.05808512,404.7565286,36.68882809,45.16324181,45.02612538,277.2857224,17.72883925,266.7537619,2966.387991
"TMEM59",2985.166978,3217.036407,2189.372375,1945.796389,4132.768671,6254.355255,4070.870853,4493.272838,2726.024206,3387.029291
"STX7",358.050567,158.8907322,761.8308519,179.5581539,189.7953401,148.5319833,309.1734775,227.6948816,168.0722318,249.141216
