"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"ADD3",1763,1705,2795,1166,1845,1034,1456,2415,1587,311,1404,1879,1054,1201,2414,652,520
"ADGB",0,3,12,1,3,0,0,2,1,2,5,0,1,6,0,0,0
"ADGRA1",0,1,0,4,0,23,2,7,3,19,1,0,2,1,2,8,4
"ADGRA2",795,979,2470,709,24,152,267,137,2180,163,541,215,122,461,635,486,157
"ADGRA3",1365,1328,609,646,694,1434,4073,215,1927,2649,661,3771,2393,1255,5689,3016,3898
"ADGRB1",6556,7323,268,501,9,39,467,30,196,19,50,68,1159,11,955,36,21
"ADGRB2",92,93,372,112,81,115,360,1161,396,5,556,77,391,1560,661,227,2
"ADGRB3",0,0,15,5,2,30,1,0,1,11,96,68,6,46,21,1,7
"ADGRD1",28,36,33,15,4,64,40,10,39,123,72,169,4,113,69,225,235
"ADGRD2",3,1,2,1,2,1,14,5,9,0,7,8,1,1,22,11,0
"ADGRE1",4,1,67,26,13,6,37,35,16,14,107,3,9,71,18,11,8
"ADGRE2",397,390,163,175,22,26,13,61,158,21,171,21,33,56,143,43,13
"ADGRE3",4,2,15,6,2,1,2,9,11,1,3,0,0,0,2,5,0
"ADGRE5",255,286,3180,1799,379,259,576,1101,3376,245,4983,1081,676,1423,2047,493,131
"ADGRF1",1031,1077,44,12,130,16,427,153,71,0,49,1535,11,2,45,0,0
"ADGRF2",2109,2172,10,6,125,2,0,12,2,0,1,0,6,0,0,0,0
"ADGRF3",35,40,27,58,7,9,39,53,31,10,10,57,13,26,70,18,6
"ADGRF4",2598,2519,61,15,176,6,0,102,5,0,0,1,79,20,8,0,0
"ADGRF5",625,628,642,284,47,132,109,70,241,173,407,1629,77,169,611,278,106
"ADGRG1",6501,7258,4626,1627,2799,793,1583,1980,10806,129,4053,5334,1950,313,16726,112,70
"ADGRG2",25,32,986,249,191,53,1100,3237,535,62,3232,3093,1319,12,114,45,22
"ADGRG3",10,4,46,24,13,2,7,13,49,7,18,13,2,2,31,9,6
"ADGRG4",0,0,0,0,0,0,0,0,0,1,0,4,0,4,1,6,0
"ADGRG5",6,5,772,252,16,24,5,227,273,50,186,28,3,5,57,91,156
"ADGRG6",71,67,275,43,169,42,77,114,322,1129,152,228,289,123,474,1521,2313
"ADGRG7",0,3,0,0,1,1,2,0,0,74,0,29,0,4,1,271,249
"ADGRL1",1224,1442,1010,1061,135,1414,2321,527,4802,55,3053,7058,197,744,3474,278,59
"ADGRL2",3737,3615,500,844,315,2090,1349,1135,4420,303,346,1959,548,3729,2856,689,822
"ADGRL3",14,9,142,4,59,59,327,12,35,7,356,240,37,55,196,9,6
"ADGRL4",405,392,516,181,20,140,40,60,197,59,152,30,82,570,179,93,18
"ADGRV1",5,7,118,14,118,38,28,5,36,182,18,152,23,225,115,311,418
"ADH1A",1,1,5,2,6,9,1,1,1,12972,2,888,1,7,2,17597,38929
"ADH1B",8,10,482,110,80,36,21,81,71,31224,22,4520,4,17,6,58529,125705
"ADH1C",6,7,6,2,2,12,12,0,1,9132,5,1359,1,31,6,13569,35309
"ADH4",1,1,12,1,1,12,2,0,1,35454,9,1514,4,27,2,48836,97039
"ADH5",2584,2591,2420,802,991,1596,1592,902,2115,1895,1832,2809,2477,4742,3273,2695,3592
"ADH6",369,403,25,4,2,0,15,4,7,5603,10,389,3,60,3,5936,8998
"ADH7",0,0,2,0,0,0,0,0,0,3,0,0,0,0,15,6,23
"ADHFE1",71,67,118,126,85,19,190,99,77,1331,262,228,92,24,294,1582,1876
"ADI1",2413,2437,1139,1036,904,2599,3916,1766,1495,8729,1714,2103,7961,4148,2376,10645,17850
"ADIG",0,0,1,0,0,0,3,0,1,1,3,1,0,0,0,0,0
"ADIPOQ",2,7,0,14,2,0,6,0,9,0,0,3,0,3,0,6,1
"ADIPOR1",3408,3621,2431,1330,971,2390,1211,2188,2141,678,3726,3405,2604,3730,4661,1160,1282
"ADIPOR2",1393,1399,1263,1057,1826,1851,2468,739,2238,1433,2007,2006,1462,1635,2373,2075,4163
"ADIRF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADK",273,288,288,171,241,277,342,450,435,635,563,524,763,709,407,906,1343
"ADM",305,344,36,441,344,226,355,263,3261,205,457,1094,442,4427,3944,212,137
"ADM2",333,380,403,334,128,15,186,29,357,46,424,91,28,1349,401,104,90
"ADM5",20,29,63,85,21,20,12,10,66,11,91,513,5,21,21,29,13
"ADNP",2364,2384,2736,1506,1805,1850,3202,2432,3782,387,6221,6316,2114,2367,6090,750,752
"ADNP2",375,371,381,257,122,264,539,281,447,146,864,1058,301,919,495,162,293
"ADO",472,553,634,386,230,475,794,517,1227,91,1540,1134,548,491,787,138,121
"ADORA1",5,6,176,91,151,43,135,347,170,14,780,2529,156,251,114,29,11
"ADORA2A",3,5,48,13,3,0,5,14,31,77,23,42,0,1,20,72,122
"ADORA2B",76,89,25,16,17,18,25,33,38,5,65,139,15,368,15,11,0
"ADPGK",761,732,1709,1820,638,517,985,904,1609,497,1306,1409,824,1081,1179,724,750
"ADPRH",105,86,531,197,69,117,77,210,320,33,308,93,69,196,103,49,31
"ADPRHL1",160,168,16,54,53,173,257,287,114,34,85,29,214,204,30,32,60
"ADPRHL2",1042,1225,672,747,602,586,809,983,1180,228,1999,1626,1782,4070,1332,283,330
"ADPRM",107,112,139,99,32,91,54,60,148,79,76,319,97,141,82,85,126
"ADRA1A",0,1,44,8,0,0,0,0,23,178,3,37,1,2,1,723,199
"ADRA1B",42,36,75,64,195,64,206,109,162,154,41,54,122,33,1450,304,340
"ADRA1D",10,12,11,8,0,2,39,0,6,4,11,4,4,276,11,0,1
"ADRA2A",254,292,4156,689,13,72,39,630,1532,35,462,5,73,50,54,33,25
"ADRA2B",26,23,15,10,1,24,182,14,177,155,28,32,171,10,13,236,245
"ADRA2C",285,316,174,472,29,256,3641,1062,1171,12,832,1491,3518,8,332,98,18
"ADRB1",6,6,16,17,5,3,9,23,18,8,30,4,4,145,5,19,11
"ADRB2",6,6,148,41,7,4,11,29,80,91,47,13,14,56,19,91,139
"ADRB3",1,1,4,0,0,0,0,0,0,1,2,0,1,2,2,1,0
"ADRM1",2145,2618,1714,2664,1233,1657,1437,1358,3119,1016,4930,2617,3009,8513,3912,1223,1366
"ADSL",910,1021,828,1367,537,843,2158,653,1613,249,1304,1376,2270,2995,810,345,420
"ADTRP",10,8,121,43,30,6,4,23,80,5,19,20,109,5,16,40,23
"AEBP1",4500,5407,5734,4730,482,1950,3912,638,9197,552,1171,9377,3001,17364,3006,1210,298
"AEBP2",564,567,764,459,802,313,544,723,979,89,1464,946,738,380,767,130,161
"AEN",779,770,454,340,60,368,223,233,581,103,437,499,264,307,162,114,108
"AFAP1",506,543,613,625,159,202,872,756,1316,33,574,1923,294,1594,1507,105,19
"AFAP1L1",210,217,285,195,11,122,193,94,141,97,131,227,451,795,294,120,62
"AFAP1L2",197,235,693,414,154,839,855,321,1291,39,1260,207,163,22,325,175,40
"AFF1",2106,2201,1396,549,715,165,1121,1049,1111,505,893,4389,338,1072,1986,762,1203
"AFF2",19,24,295,90,64,35,34,24,75,3,97,207,19,1,168,18,3
"AFF3",4,3,601,417,9,25,161,58,478,100,39,25,14,18,15,132,115
"AFF4",2634,2643,1763,1025,801,992,1121,2453,2184,764,1568,2420,653,2686,3322,1848,1794
"AFG3L2",1008,1076,769,1120,263,1657,995,1208,3811,375,1940,992,1935,4097,2900,480,767
"AFM",0,0,0,0,0,2,0,0,0,7347,3,620,0,10,0,8768,13628
"AFMID",146,170,219,232,246,520,527,248,647,2436,215,1985,879,318,844,2827,3634
"AFP",10,4,2,0,1,1,0,0,0,57,1,2,3,83,0,113,220
"AFTPH",1875,1976,1054,788,779,344,437,836,913,237,1071,506,636,823,1019,405,458
"AGA",265,275,395,260,231,91,168,274,489,138,452,761,286,711,195,210,186
"AGAP1",582,734,847,545,468,540,949,1133,1479,177,959,1210,560,957,1017,258,251
"AGAP2",83,136,858,370,25,45,13,223,366,29,135,19,10,150,103,64,11
"AGAP3",2165,2122,1836,2271,392,1471,1660,3293,4887,1167,4650,2792,2669,3810,3100,1438,1660
"AGAP4",28,17,40,67,3,7,17,27,29,29,20,178,1,15,56,36,22
"AGAP5",9,19,17,14,6,0,4,10,23,17,4,59,5,0,10,17,14
"AGAP6",125,130,234,226,148,25,117,87,233,282,273,892,126,127,353,324,286
"AGAP9",50,61,95,120,104,11,41,47,115,339,113,261,7,122,171,248,383
"AGBL1",0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AGBL2",6,6,61,74,77,3,17,45,81,293,47,26,54,5,32,168,187
"AGBL3",43,39,76,42,31,13,42,37,103,36,103,106,111,59,71,61,66
"AGBL4",18,27,5,4,14,18,27,13,39,12,27,13,16,53,56,13,12
"AGBL5",607,594,493,461,700,753,1922,581,1804,158,1827,1478,2579,769,2472,199,266
"AGER",130,135,396,375,94,20,52,116,293,194,134,1247,65,84,500,227,228
"AGFG1",1514,1471,1288,777,652,1152,634,1033,1628,309,1318,1034,1035,1794,841,298,345
"AGFG2",214,206,834,458,372,257,340,1370,1154,1271,612,476,569,598,463,1479,2489
"AGGF1",938,923,776,481,466,490,563,1000,888,200,717,455,565,1420,1175,313,402
"AGK",691,674,697,494,248,341,685,621,1278,256,988,1217,1016,1032,562,450,445
"AGL",460,458,622,424,247,310,374,867,1124,774,837,570,427,1254,624,1034,1239
"AGMAT",59,67,129,98,18,39,102,81,317,1477,157,257,86,286,119,1529,3351
"AGMO",8,6,4,3,25,6,4,0,10,558,30,67,16,1178,75,828,1516
"AGO1",691,793,856,456,495,360,981,890,1100,219,1580,1027,289,973,1002,410,433
"AGO2",3386,3333,1535,1786,888,568,5758,1518,2749,246,2410,2717,2406,2222,3058,405,419
"AGO3",319,310,682,487,577,150,554,552,514,300,638,830,487,808,809,369,499
"AGO4",636,629,582,396,302,266,611,472,703,335,1028,1075,223,748,1329,446,618
"AGPAT1",608,628,759,664,547,582,2215,530,1790,241,1080,2077,1095,2444,1544,343,419
"AGPAT2",3578,4210,1271,2776,1096,1900,697,1223,4508,2395,468,1951,5926,1555,2283,3375,3315
"AGPAT3",3082,3305,2138,1349,527,877,647,2095,1959,2090,4313,3917,539,3282,2825,2504,3750
"AGPAT4",142,102,225,83,118,118,802,58,235,33,391,1313,295,609,183,68,29
"AGPAT5",477,516,667,276,142,231,351,398,546,96,603,1436,559,552,576,200,134
"AGPS",683,684,835,421,292,743,634,998,718,180,942,686,982,1667,624,380,452
"AGR2",2381,2270,110,14,52,17,47,3,64,7,24,47,28,5,482,1,0
"AGR3",74,82,38,0,19,8,2,2,19,0,0,1,125,0,21,0,0
"AGRN",31275,35675,6741,6771,11467,751,3322,13922,25653,1530,39095,17222,6288,2018,30142,3303,1951
"AGRP",2,0,11,7,0,0,3,5,10,2,1,8,7,2,2,2,4
"AGT",40,41,50,1,7,45,73,1,35,21722,521,3664,61,14201,2,25867,22721
"AGTPBP1",1206,1169,425,225,124,228,817,473,504,81,369,630,200,433,352,109,86
"AGTR1",28,25,12,2,1,29,7,0,6,366,23,93,10,164,2,592,816
"AGTR2",5,1,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0
"AGTRAP",2572,2908,897,1202,1624,513,583,1112,1347,175,1294,844,4603,2580,2009,297,252
"AGXT",0,0,0,0,2,8,0,1,0,45311,13,5381,1,55,1,42749,79621
"AGXT2",2,2,0,0,1,0,0,0,1,1321,5,280,0,0,0,1850,1970
"AHCTF1",1039,1033,831,421,180,337,642,560,1071,181,1053,1923,417,636,1104,284,306
"AHCY",8718,9015,2591,2263,1640,6267,7444,4588,8696,1905,4748,5256,11145,6900,3279,2387,3707
"AHCYL1",2521,2586,2298,2577,2696,2738,1521,3633,4610,896,3417,1978,2570,6049,1831,1326,1496
"AHCYL2",288,307,547,231,70,83,427,444,491,157,582,721,184,570,511,190,206
"AHDC1",451,536,1019,554,1409,324,1156,2178,2122,429,825,1808,2231,972,1496,604,491
"AHI1",483,535,569,314,516,180,160,192,340,325,505,746,312,465,516,228,290
"AHNAK",4234,4225,14238,9047,11511,4221,2985,33136,30963,3085,20430,2742,6705,6392,7836,4700,4956
"AHNAK2",623,652,659,1397,2062,720,529,5635,7811,53,162,658,378,1210,497,137,7
"AHR",1297,1292,2115,537,502,704,451,1765,1595,455,1688,619,529,644,2099,946,794
"AHRR",189,191,55,24,58,50,49,28,35,19,215,80,84,21,84,21,43
"AHSA1",2684,3053,1421,1764,1094,2238,1356,1613,2150,420,2587,3925,6136,4044,2591,791,554
"AHSG",0,0,0,0,3,13,14,3,2,40996,12,6003,1,8,2,46373,103575
"AHSP",1,0,2,2,0,2,0,7,2,0,0,0,0,2,0,0,1
"AICDA",10,3,63,37,1,0,0,30,93,0,1,0,0,2,13,2,0
"AIDA",520,495,355,152,54,270,192,461,250,38,571,501,221,276,503,95,82
"AIF1",134,122,798,873,184,229,53,417,455,142,569,61,192,466,369,289,108
"AIF1L",7824,8186,719,938,207,2276,2022,517,515,57,685,1465,4914,154,2164,74,40
"AIFM1",1148,1180,1357,1352,692,787,1380,1869,2104,942,5298,779,3704,5664,1528,1479,1790
"AIFM2",161,165,373,379,154,216,218,971,579,340,1013,883,989,900,724,429,761
"AIFM3",250,237,62,27,29,12,43,23,57,28,44,36,38,159,185,227,37
"AIG1",1466,1385,527,223,707,291,309,366,703,1652,978,1325,1280,1564,1220,2760,4480
"AIM2",34,36,501,272,14,17,11,101,144,5,76,1,9,18,26,12,1
"AIMP1",2880,2842,1053,667,663,990,540,576,1056,471,913,1118,964,1262,1268,470,634
"AIMP2",437,556,230,209,164,492,326,53,740,127,932,518,474,1085,249,122,170
"AIP",616,638,1530,1294,1036,1915,1208,1305,2322,609,2070,1666,4092,1658,1285,730,760
"AIPL1",0,1,0,6,2,0,0,23,1,1,1,0,0,1,0,0,0
"AIRE",0,3,156,50,0,1,5,9,74,2,2,2,0,3,3,4,2
"AJAP1",702,645,21,84,1,39,207,19,8,19,3084,3,58,1,6,7,16
"AJUBA",434,473,222,229,176,373,999,1073,401,164,4103,4565,744,718,857,503,573
"AK1",82,96,145,155,47,376,73,68,108,142,76,155,269,362,72,161,132
"AK2",2731,2965,1428,1295,1855,1768,1955,2710,2449,1253,4190,2078,4550,3994,1021,1512,2006
"AK3",1330,1328,1401,1073,367,428,620,1701,807,1464,1693,1303,667,1952,2802,2351,3337
"AK4",352,407,159,658,389,479,341,1775,1246,938,2122,608,170,1168,1474,1672,2970
"AK5",40,39,66,53,11,111,65,9,117,8,9,5,41,45,4,7,7
"AK6",396,383,279,154,160,329,216,264,250,97,350,237,499,1344,304,181,213
"AK7",202,182,91,84,14,142,44,84,49,10,22,35,111,48,308,14,30
"AK8",129,137,46,44,13,27,16,34,76,4,51,36,141,14,31,4,1
"AK9",46,42,218,121,172,42,78,42,141,48,129,248,101,199,47,71,89
"AKAP1",960,1013,814,827,328,500,449,1708,2440,1204,1036,3938,1171,1874,1287,1535,2062
"AKAP10",522,548,657,411,415,314,352,395,620,187,439,904,302,890,543,242,270
"AKAP11",464,450,1764,872,435,428,831,1362,1258,148,730,1055,239,511,1334,389,435
"AKAP12",470,516,607,332,3383,1138,410,3225,1036,132,3356,1027,271,2301,128,172,116
"AKAP13",1059,1180,3834,2226,1639,1011,1201,1922,2548,1396,1376,2018,598,2245,1514,1361,1406
"AKAP14",0,0,5,3,2,1,0,3,0,0,4,0,2,2,0,0,1
"AKAP17A",1366,1437,3360,2617,296,206,873,1701,2326,1775,2400,5625,756,2453,2101,2170,1752
"AKAP3",33,33,17,47,52,24,87,120,31,17,60,56,275,12,31,34,39
"AKAP4",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
"AKAP5",49,54,127,99,59,30,18,81,88,81,107,167,40,49,172,49,87
"AKAP6",22,29,65,33,15,267,109,34,158,60,112,87,41,149,131,114,117
"AKAP7",883,916,224,116,59,79,85,66,226,135,261,132,55,789,196,197,262
"AKAP8",804,887,1011,683,380,445,835,898,1435,570,1212,2158,810,532,1828,666,685
"AKAP8L",934,1034,1042,728,323,341,1257,1023,1855,683,2682,4951,1090,1398,3155,1359,935
"AKAP9",2974,3307,3498,2585,2287,1372,1814,2229,3389,2063,2106,5162,1408,1703,2429,1799,3511
"AKIP1",302,290,277,298,150,171,261,212,326,115,467,361,408,640,305,123,152
"AKIRIN1",1470,1546,1617,859,688,863,1693,1518,2470,418,10522,1936,1302,3457,1894,327,378
"AKIRIN2",1220,1350,1409,1020,852,720,572,554,1345,306,2236,2038,1217,1788,1821,429,433
"AKNA",357,379,5483,2849,370,256,629,1882,2791,457,984,1408,253,435,823,645,422
"AKNAD1",1,1,0,0,3,5,1,0,0,0,1,0,0,12,0,0,0
"AKR1A1",1505,1532,1743,1529,1012,1724,2113,1657,3580,2687,3255,2421,2083,4110,1472,3222,4088
"AKR1B1",1442,1566,1159,1376,82,967,4538,550,2015,146,7332,2406,2563,5375,460,287,63
"AKR1B10",1,2,1,15,24,58,11,19,22,12,27,12,8,80,5,12,39
"AKR1B15",6,4,4,22,2,130,6,9,6,1,4,111,24,27,2677,1,1
"AKR1C1",140,135,116,16,18,32,13,5,42,2011,13,301,29,1851,86,1796,5632
"AKR1C2",24,33,22,8,30,45,4,3,127,621,21,47,23,1193,35,1138,3327
"AKR1C3",337,339,296,30,260,51,246,40,77,926,364,234,849,8118,256,1031,2654
"AKR1C4",0,0,1,0,2,0,2,1,2,1959,3,334,23,61,4,2614,5393
"AKR1D1",0,0,0,0,0,1,0,0,1,1768,1,82,1,18,0,2490,5048
"AKR1E2",59,56,24,4,3,47,27,4,119,16,19,22,49,128,194,10,5
"AKR7A2",1259,1407,685,575,515,647,1175,811,1128,438,1294,1247,4424,2792,1091,572,931
"AKR7A3",5,12,18,29,18,11,12,11,46,2005,34,451,75,179,77,2549,2619
"AKT1",2285,2429,3768,3489,799,1823,4569,6404,5211,2242,3045,9771,1956,4223,8361,3152,2450
"AKT1S1",1106,1329,918,1398,736,810,904,919,2314,873,2024,2492,1212,2348,2343,999,1191
"AKT2",3425,3939,2684,2111,1834,1477,3373,3287,3650,2147,2842,8295,1303,2497,5903,3144,3399
"AKT3",213,223,690,252,324,193,67,104,363,76,144,100,111,490,156,109,83
"AKTIP",884,913,416,201,121,243,252,411,327,110,342,436,266,443,972,196,240
"ALAD",1751,1913,851,613,205,1051,1004,1229,1182,2726,817,1224,682,1201,859,4587,5439
"ALAS1",2560,2782,688,1168,311,766,1554,1300,1524,1977,1936,966,1261,3219,1300,1903,1766
"ALAS2",3,0,33,13,1,7,15,104,19,0,2,2,2,12,4,2,8
"ALB",0,2,4,5,45,426,8,2,41,842296,265,81253,24,339,57,1292503,3126327
"ALCAM",328,321,3190,451,2568,449,188,277,1170,1022,1685,2806,1397,390,3618,935,1987
"ALDH16A1",1173,1351,1673,1045,285,342,836,539,2196,510,719,2616,319,1524,904,673,575
"ALDH18A1",5002,5369,2081,1242,860,1140,2556,2511,2120,204,4419,3160,1298,1637,1941,491,453
"ALDH1A1",110,120,176,238,49,382,34,158,208,5409,135,1705,189,8806,151,7952,18508
"ALDH1A2",25,28,52,3,8,25,135,8,20,106,29,491,124,20491,56,87,133
"ALDH1A3",122,144,74,124,16,84,26,191,107,20,227,278,18,75,469,27,27
"ALDH1B1",258,261,357,264,104,438,715,604,1135,2036,975,1640,1227,603,181,2836,4206
"ALDH1L1",12,21,110,15,208,132,110,2,25,8433,114,857,205,2364,1121,13491,18491
"ALDH1L2",115,108,163,81,41,79,250,43,183,5,1355,72,46,79,199,16,1
"ALDH2",730,796,1427,1710,356,473,447,556,1431,17784,3904,4197,1270,4003,1271,36617,43514
"ALDH3A1",3,1,6,14,29,12,29,7,41,19,67,48,90,28,19,23,59
"ALDH3A2",541,467,625,484,1565,719,687,1390,1081,2814,1288,3230,1308,1597,625,3671,7834
"ALDH3B1",864,1011,414,1255,473,923,130,634,534,123,1046,88,318,817,424,192,81
"ALDH3B2",119,143,639,558,73,995,186,1878,2599,1,25,96,1329,3,898,5,1
"ALDH4A1",268,254,113,149,75,181,142,219,307,5187,140,2043,255,404,265,6547,6486
"ALDH5A1",1015,1096,936,675,166,786,1033,681,1495,1095,1062,1247,793,597,1463,2095,3670
"ALDH6A1",1196,1333,323,269,337,420,621,907,349,4437,634,1593,527,2764,733,6121,9064
"ALDH7A1",1067,1071,1011,1080,586,2068,1326,1167,2352,1728,1470,1901,3716,2052,1448,2923,4424
"ALDH8A1",12,8,38,32,17,0,3,12,10,2612,23,448,11,48,14,3834,6043
"ALDH9A1",2268,2255,1463,959,329,876,3560,1119,1502,1560,2027,3164,1197,2209,2166,2720,3798
"ALDOA",30997,35143,10827,19807,25301,14783,25348,21956,52351,1850,25878,17902,76155,96980,36408,1906,1562
"ALDOB",1,0,3,5,4,13,3,1,4,86895,46,11823,2,45,4,133629,182337
"ALDOC",74,89,252,193,282,350,217,671,640,903,334,578,34,2870,105,903,1225
"ALG1",425,472,428,406,112,225,297,253,769,90,445,270,488,739,704,145,167
"ALG10",66,55,104,57,116,41,48,50,141,9,123,92,94,118,71,18,36
"ALG10B",162,144,244,226,159,97,178,194,216,37,325,528,207,194,117,126,111
"ALG11",148,172,171,74,55,62,101,145,122,26,180,200,62,176,291,31,36
"ALG12",609,629,297,354,192,79,226,143,446,96,389,555,354,1857,703,129,148
"ALG13",412,471,938,608,388,173,486,369,614,412,1431,536,576,509,603,583,547
"ALG14",163,162,120,177,193,201,142,166,235,150,235,144,421,747,175,216,396
"ALG1L",0,0,48,29,186,29,19,12,89,33,48,0,133,425,193,1,14
"ALG1L2",5,5,28,6,6,3,21,24,17,3,4,8,36,1,52,4,5
"ALG2",1574,1612,913,524,235,512,1077,784,854,414,899,808,1025,1275,795,728,616
"ALG3",1484,1712,632,917,861,760,2127,990,1790,440,3529,790,1697,1667,1542,556,633
"ALG5",1151,1125,522,518,263,183,464,390,668,231,410,528,1161,745,905,303,479
"ALG6",373,368,379,374,184,190,196,355,461,69,332,315,281,1291,599,152,141
"ALG8",508,566,5051,596,425,265,1116,629,1076,196,1155,679,1322,1950,1090,323,455
"ALG9",92,98,107,134,86,45,235,102,178,70,141,300,115,277,140,118,148
"ALK",100,117,9,140,41,61,11,54,146,0,111,7,10,6,11,38,1
"ALKBH1",228,197,177,135,119,162,122,151,199,67,182,357,246,584,299,91,105
"ALKBH2",125,139,295,308,170,302,292,191,684,298,690,1208,607,236,459,255,556
"ALKBH3",93,99,295,208,199,315,297,254,464,101,714,248,648,355,466,130,170
"ALKBH4",318,337,226,248,176,173,165,209,482,104,599,819,567,486,427,179,159
"ALKBH5",1195,1328,1458,1233,1020,1050,1483,1096,2167,672,1671,3068,1160,7448,2760,1022,1140
"ALKBH6",69,54,106,126,100,30,119,44,247,108,232,298,108,153,594,152,160
"ALKBH7",1300,1524,1157,653,750,1100,873,1280,2122,1578,2064,1936,4115,2064,1519,1241,1994
"ALKBH8",113,122,217,168,87,74,104,198,244,49,142,164,75,229,140,96,147
"ALLC",0,0,0,0,0,0,3,0,0,66,0,9,0,5,0,114,105
"ALMS1",494,473,451,362,231,114,789,466,777,79,786,775,284,438,523,132,96
"ALOX12",81,97,97,73,20,11,35,23,68,34,60,140,48,38,39,31,51
"ALOX12B",2,0,1,9,0,1,46,2,20,3,8,19,22,27,8,1,1
"ALOX15",288,334,26,9,0,2,0,8,16,0,1,5,0,4,3,14,1
"ALOX15B",18,18,7,207,14,72,126,15,127,6,44,9,93,363,150,4,0
"ALOX5",104,116,1588,1389,118,59,63,1101,1149,93,1204,69,147,136,498,124,49
"ALOX5AP",13,25,835,662,208,145,21,369,740,34,515,21,282,775,198,42,14
"ALOXE3",2,0,14,8,2,8,10,10,10,0,8,6,13,10,7,0,1
"ALPI",0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,1,0
"ALPK1",302,324,938,582,445,145,176,418,720,241,325,642,577,271,713,287,247
"ALPK2",15,18,638,346,13,39,36,18,285,200,560,109,73,54,22,846,874
"ALPK3",583,585,103,60,62,148,472,234,117,68,117,81,66,106,130,133,67
"ALPL",164,159,1539,1002,30,1794,1012,132,4886,1237,82,623,5037,4517,852,1990,1702
"ALPP",1,2,1004,12,14,9,0,9,3318,1,0,0,0,1,3,1,0
"ALS2",325,323,468,303,381,273,351,371,687,297,528,1424,304,1082,543,590,555
"ALS2CL",3365,3630,1004,1669,782,108,391,2984,805,883,210,479,149,246,2158,1750,1415
"ALX1",11,6,0,0,6,0,3,0,0,0,6,8,1,207,5,1,0
"ALX3",3,5,11,4,1,1,1,2,4,0,7,3,0,10,25,0,0
"ALX4",10,9,8,2,0,1,2,6,2,1,70,3,131,55,214,40,1
"ALYREF",914,940,1479,2361,718,1911,1587,966,4190,404,3346,3762,7358,4904,3271,419,510
"AMACR",165,198,89,32,32,38,92,45,107,135,258,128,61,130,94,438,583
"AMBN",0,0,1,0,0,11,0,1,0,0,0,0,0,1,1,0,0
"AMBP",79,89,4,8,4,33,19,9,8,83045,50,14273,20,2023,6,147585,240479
"AMBRA1",729,768,757,592,263,486,815,888,1036,194,1231,1126,545,890,1082,275,257
"AMD1",2356,2385,1359,680,522,863,796,883,1586,184,2337,1747,2226,2384,1373,292,264
"AMDHD1",2,5,22,10,5,2,3,1,23,1456,83,213,3,90,1,1590,2776
"AMDHD2",206,236,791,684,209,180,272,191,786,279,607,577,333,1501,958,315,462
"AMELX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AMELY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMER1",178,155,195,152,49,97,294,238,282,109,433,22,106,15,151,143,213
"AMER2",0,0,2,2,1,20,1,0,1,0,6,3,2,1,0,0,0
"AMER3",8,7,0,2,1,23,4,3,7,1,1,3,3,1,1,1,0
"AMFR",1782,1953,2740,1000,633,916,1119,1343,2148,1347,2036,778,1147,2454,3791,1928,2657
"AMH",11,19,68,18,70,19,34,27,32,14,1351,2078,1,124,27,293,25
"AMHR2",6,9,2,0,0,0,0,2,0,12,1,12,0,136,5,13,11
"AMIGO1",286,286,302,152,6,137,21,221,261,72,307,235,90,386,123,52,113
"AMIGO2",474,444,400,173,122,103,67,65,175,49,989,40,251,5780,2392,50,27
"AMIGO3",1,0,2,4,1,0,0,0,3,2,1,9,0,1,0,1,2
"AMMECR1",467,510,461,350,329,243,396,518,392,53,1270,337,752,635,1202,151,89
"AMMECR1L",573,583,705,447,221,391,550,549,1105,215,462,995,440,648,810,309,410
"AMN",1427,1719,80,166,159,29,409,629,655,711,33,388,273,387,2075,5189,13595
"AMN1",155,187,181,100,226,329,123,126,344,5,127,150,181,313,515,24,26
"AMOT",110,104,544,426,346,237,1123,5221,500,82,5511,506,1157,4,104,100,123
"AMOTL1",770,821,552,318,63,300,758,433,666,357,585,1736,297,765,2019,466,638
"AMOTL2",3453,3654,1392,1481,1468,566,1200,3942,1625,227,6487,2176,1075,1797,469,406,402
"AMPD1",3,3,41,3,5,0,3,4,8,4,7,0,0,0,4,6,1
"AMPD2",1281,1407,1344,1045,255,625,795,807,2264,776,3584,1950,878,2597,1169,1090,1556
"AMPD3",275,286,747,634,108,128,134,590,671,56,356,259,88,516,550,104,52
"AMPH",32,33,90,23,4,100,19,14,38,8,182,9,44,141,157,8,3
"AMT",153,134,382,408,220,7,548,126,487,1098,350,1003,47,52,553,1355,2030
