GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
WNK1,11.3362,10.741,11.469,10.8735,11.6486,11.7499,11.7975,11.5535,11.6211,11.1265,11.8647
WNK3,6.57503333333333,6.75666666666667,6.40576666666667,6.13976666666667,6.50543333333333,6.41236666666667,6.48866666666667,6.3704,6.3377,6.32746666666667,6.422
WNT1,7.0277,6.4795,6.5627,6.516,6.353,6.4631,6.4175,6.2418,6.6613,6.0282,6.2919
WNT11,7.2654,6.4081,6.1204,6.2804,6.4825,6.2848,8.9163,6.4963,6.2501,6.941,6.3997
WNT3,8.4681,7.512,8.0506,8.5484,8.0946,8.7951,7.8458,10.6642,8.0624,9.458,8.364
WNT4,6.743,7.0919,7.9869,6.6496,6.699,9.4725,7.0105,8.3846,7.6428,6.7368,6.6093
WNT5B,7.4405,6.7234,8.0394,10.0018,9.3035,7.3732,7.9338,9.6376,8.7314,7.5546,8.6334
WNT7A,6.5209,6.4819,6.9939,6.3282,6.1987,6.3147,6.4077,6.6525,6.5331,6.2368,6.399
WNT7B,6.5136,6.5726,9.7016,6.2102,6.3356,6.4781,6.8492,7.9573,6.2405,6.0785,6.4966
WNT8A,6.5683,6.66075,6.3338,6.2248,6.3159,6.52135,6.5194,6.2964,6.39795,6.14965,6.35955
WNT8B,6.4305,6.623,6.1584,6.2252,6.1476,6.2805,6.2433,6.387,6.1364,6.0365,6.4488
WNT9B,6.7142,6.556,6.6604,7.3721,7.0337,7.4235,6.5125,6.3975,6.1458,6.4088,6.8358
WRAP53,9.6158,9.7782,9.3923,9.4424,8.8084,8.7592,9.3971,9.6035,9.2692,8.8294,9.1479
WRN,9.7813,9.8819,9.1729,8.8463,9.3975,9.1701,9.4803,10.0035,9.4272,9.013,9.5948
WRNIP1,8.9779,9.9116,10.25215,10.00875,10.208,10.20325,9.89585,9.93475,9.968,9.8925,10.26805
WSB1,11.1767,12.11025,11.19375,11.1009,11.10895,10.35715,11.0342,11.39405,11.21275,10.91275,11.19805
